layer,n_values,mean,median,p05,p25,p50,p75,p95,p99,effective_range_p95_minus_p05
1,599500,0.028501000255346298,0.02498340606689453,0.004818885587155819,0.01693476364016533,0.024983405135571957,0.036509488709270954,0.06328405216336248,0.07969919361174109,0.058465166576206665
2,599500,0.02602875791490078,0.0202792938798666,0.005811199592426419,0.012803774327039719,0.0202792938798666,0.03249335754662752,0.06669389121234409,0.11039744749665271,0.060882691619917675
3,599500,0.011578945443034172,0.009156299754977226,0.0026825398555956784,0.005633347434923053,0.009156299289315939,0.014579355716705322,0.0287061437964439,0.04692313153296711,0.02602360394084822
4,599500,0.006899229250848293,0.005873806308954954,0.0018021921685431152,0.0037546278908848763,0.005873806308954954,0.008803909411653876,0.015186240430921304,0.023209176324307922,0.01338404826237819
5,599500,0.005375593435019255,0.0044957734644412994,0.0011472340207546949,0.002654220210388303,0.0044957734644412994,0.007155521772801876,0.012500661378726362,0.017476739063858986,0.011353427357971667
6,599500,0.004012943711131811,0.0032581752166152,0.0006689847650704905,0.001808428845833987,0.0032581752166152,0.005388575838878751,0.009814147837460038,0.014367837905883803,0.009145163072389547
7,599500,0.010538780130445957,0.010287057608366013,0.0018265964870806783,0.006264823372475803,0.0102870580740273,0.01419036602601409,0.02047057971358299,0.025715968329459445,0.018643983226502313
8,599500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
