metric,layer,n_positions,successes,rate,ci95_low,ci95_high,passes_perlayer_thresh
M2_ur,1,599500,599500,1.0,1.0,1.0,True
M2_ur,2,599500,302736,0.5049808173477899,0.503700834028357,0.5062552960800668,False
M2_ur,3,599500,538247,0.8978265221017515,0.8970191409507923,0.8985939949958298,True
M2_ur,4,599500,549800,0.9170975813177648,0.9163619266055045,0.9177916180150125,True
M2_ur,5,599500,580339,0.9680383653044203,0.9675678899082568,0.968472268557131,True
M2_ur,6,599500,591953,0.9874111759799833,0.9871090909090909,0.9876815679733111,True
M2_ur,7,599500,276840,0.46178482068390325,0.46051538782318596,0.4630597998331943,False
M2_ur,8,599500,599500,1.0,1.0,1.0,True
