gamma_cos,rho,gDTR_gc_mean,gDTR_gc_std,gDTR_shuf_mean,gDTR_shuf_std,cohens_d
0.4,0.8,0.7568633333333333,0.12534195311670832,0.19523666666666664,0.08031726042527983,5.281733668007505
0.4,0.85,0.7568633333333333,0.12534195311670832,0.19523666666666664,0.08031726042527983,5.281733668007505
0.4,0.9,0.7568633333333333,0.12534195311670832,0.19523666666666664,0.08031726042527983,5.281733668007505
0.5,0.8,0.5601433333333333,0.16345149470782525,0.06482666666666667,0.03242781659145261,4.161395885582944
0.5,0.85,0.5601433333333333,0.16345149470782525,0.06482666666666667,0.03242781659145261,4.161395885582944
0.5,0.9,0.5601433333333333,0.16345149470782525,0.06482666666666667,0.03242781659145261,4.161395885582944
0.6,0.8,0.34356333333333333,0.12274368456258758,0.01415333333333333,0.008612061309582045,3.747997562616614
0.6,0.85,0.34337,0.12275341267037028,0.014089999999999998,0.008590706218544162,3.7462684234964123
0.6,0.9,0.34337,0.12275341267037028,0.014089999999999998,0.008590706218544162,3.7462684234964123
