,intergenic,intron,coding_exon,5utr,3utr,splice_donor,splice_acceptor
intergenic,0,0.166537,0.0898342,-0.0457997,0.184813,0.540021,0.523855
intron,-0.166537,0,-0.0772414,-0.199792,0.016402,0.348096,0.331726
coding_exon,-0.0898342,0.0772414,0,-0.130031,0.0944946,0.436347,0.419995
5utr,0.0457997,0.199792,0.130031,0,0.217676,0.528704,0.515891
3utr,-0.184813,-0.016402,-0.0944946,-0.217676,0,0.334019,0.317506
splice_donor,-0.540021,-0.348096,-0.436347,-0.528704,-0.334019,0,-0.0166515
splice_acceptor,-0.523855,-0.331726,-0.419995,-0.515891,-0.317506,0.0166515,0
