penalty,C,l1_ratio,auroc_mean,auroc_std
l2,0.1,,0.8428997081984895,0.02196421660795604
l2,1.0,,0.8437249028845167,0.02129775524713965
l2,10.0,,0.8437742472889095,0.021199670772471327
l1,0.1,,0.8420560152954364,0.022801450287763845
l1,1.0,,0.843750359249895,0.02144171967010882
l1,10.0,,0.8437926177763779,0.021240370690936962
elasticnet,0.1,0.5,0.8426529172283626,0.022307683376063526
elasticnet,1.0,0.5,0.8437312988241287,0.021400494409172244
elasticnet,10.0,0.5,0.8437856418742339,0.02123195054675315
